"Iniciales","FechaIngreso","IdImportacion","producto","Solicitado"
"S001","18/06/2025 21:29:58","5216","HIGIENICO ENCANTO XTGRD 4X12U FARDO","1 | 0"
"S001","18/06/2025 21:30:04","5737","HIGIENICO ENCANTO CLASSICO 4X12U FARDO","1 | 0"
"S001","18/06/2025 21:30:09","6929","HIGIENICO ENCANTO SUPER ROLLO 12X4U FARDO","1 | 0"
"S001","18/06/2025 21:30:13","6932","HIGIENICO ENCANTO GRD MORADO 12X4U FARDO","1 | 0"
"S001","18/06/2025 21:30:41","7269","SUAVIZ TERSO SH DULCE ENCANTO 9X6X80ML FARDO","1 | 0"
"S001","18/06/2025 21:43:08","397","DESCAR TENEDOR GRANDE 40X25 FARDO","2 | 0"
"S001","18/06/2025 21:44:57","1911","JAB MAX VERDE 6X3X400GRS CAJA","1 | 0"
"S001","18/06/2025 21:45:05","2956","JAB MAX NEUTRALIZADOR 6X3X400GRS CAJA","1 | 0"
"S001","18/06/2025 21:45:10","4279","JAB MAX MEGA BLANCO 6X3X500GRS CAJA","1 | 0"
"S001","18/06/2025 21:48:35","5350","JAB MAX DUOX AZUL/BLANCO 6X3X400GRS CAJA","1 | 0"
"S001","18/06/2025 21:48:41","5829","JAB MAX MEGA DUOX NEUTRA/BLANCO 6X3X500GRS CAJA","1 | 0"
"S001","18/06/2025 21:48:46","7400","JAB MAX DUOX LILA/BLANCO 6X3X400GRS CAJA","1 | 0"
"S001","18/06/2025 21:48:50","902","JAB MAX AZUL 6X3X400GRS CAJA","1 | 0"
"S001","18/06/2025 21:48:55","934","JAB MAX BLANCO 6X3X400GRS CAJA","1 | 0"
"S001","18/06/2025 21:49:03","935","JAB MAX ROSADO 6X3X400GRS CAJA","1 | 0"
"S001","18/06/2025 21:51:48","6854","JAB MAX NATURAL 6X3X400GRS CAJA","1 | 0"
"S001","18/06/2025 21:51:53","7398","JAB MAX SENSIFRESH 6X3X400GRS CAJA","1 | 0"
"S001","18/06/2025 21:52:35","1261","MAXI ESPUMA FANTASIA ROSA 30X125GRS FARDO","2 | 0"
"S001","18/06/2025 21:52:40","1762","MAXI ESPUMA LIMON 30X125GRS FARDO","2 | 0"
"S001","18/06/2025 21:52:45","2706","MAXI ESPUMA HUACALON TROPICAL 12X700GRS FARDO","2 | 0"
"S001","18/06/2025 21:52:54","387","MAXI ESPUMA PRO ACTIVE 30X125GRS FARDO","2 | 0"
"S001","18/06/2025 21:53:10","6675","MAXI ESPUMA FANTASIA ROSA 12X700GRS FARDO","2 | 0"
"S001","18/06/2025 21:53:25","3408","JAB DOÑA BLANCA 24X250GRS CAJA","3 | 0"
"S001","18/06/2025 21:53:33","3903","JAB DOÑA BLANCA 72X85GRS CAJA","3 | 0"
"S001","18/06/2025 21:54:39","5990","DESIN FABULOSO LAVANDA 4X3750ML CAJA","1 | 0"
"S001","18/06/2025 21:55:02","1030","HEAD SHOU/BT SUAV/MANEJAB 24X90ML CAJA","0 | 6"
"S001","18/06/2025 21:55:08","1031","HEAD SHOU/BT PROTECC/CAIDA 12X375ML CAJA","0 | 6"
"S001","18/06/2025 21:56:27","2598","HEAD SHOU/TR OLD SPICE 24X24X10ML CAJA","0 | 6"
"S001","18/06/2025 22:03:06","7346","CEREAL MCCALLUM´S ARITOS DE FRUTAS 15X1.5KG CAJA","0 | 2"
"S001","18/06/2025 22:03:15","7344","CEREAL MCCALLUM´S CORN FLAKES 15X1.5KG CAJA","0 | 1"
"S001","18/06/2025 22:12:24","1314","BEB ILC COCA COLA LATA 24X12.ONZ FARDO","15 | 0"
"S001","18/06/2025 23:05:59","2357","ESPECIAS ACHIOTE 12X12U FARDO","0 | 24"
"S001","19/06/2025 00:07:56","1400","BEB RED BULL 24X250ML FARDO","2 | 0"
